t_send,seq,bytes
1764724061.701378,1,256
1764724061.706357,2,256
1764724061.711372,3,256
1764724061.716347,4,256
1764724061.721390,5,256
1764724061.726410,6,256
1764724061.731378,7,256
1764724061.736380,8,256
1764724061.741356,9,256
1764724061.746449,10,256
1764724061.751335,11,256
1764724061.756367,12,256
1764724061.761337,13,256
1764724061.766426,14,256
1764724061.771366,15,256
1764724061.776360,16,256
1764724061.781372,17,256
1764724061.786427,18,256
1764724061.791348,19,256
1764724061.796315,20,256
1764724061.801432,21,256
1764724061.806366,22,256
1764724061.811330,23,256
1764724061.816352,24,256
1764724061.821341,25,256
1764724061.826305,26,256
1764724061.831327,27,256
1764724061.836368,28,256
1764724061.841336,29,256
1764724061.846424,30,256
1764724061.851413,31,256
1764724061.856333,32,256
1764724061.861407,33,256
1764724061.866325,34,256
1764724061.871309,35,256
1764724061.876319,36,256
1764724061.881346,37,256
1764724061.886324,38,256
1764724061.891338,39,256
1764724061.896325,40,256
1764724061.901358,41,256
1764724061.906325,42,256
1764724061.911331,43,256
1764724061.916311,44,256
1764724061.921401,45,256
1764724061.926324,46,256
1764724061.931316,47,256
1764724061.936311,48,256
1764724061.941324,49,256
1764724061.946282,50,256
1764724061.951303,51,256
1764724061.956308,52,256
1764724061.961291,53,256
1764724061.966312,54,256
1764724061.971379,55,256
1764724061.976422,56,256
1764724061.981318,57,256
1764724061.986335,58,256
1764724061.991409,59,256
1764724061.996371,60,256
1764724062.001344,61,256
1764724062.006356,62,256
1764724062.011359,63,256
1764724062.016365,64,256
1764724062.021405,65,256
1764724062.026308,66,256
1764724062.031298,67,256
1764724062.036300,68,256
1764724062.041302,69,256
1764724062.046303,70,256
1764724062.051310,71,256
1764724062.056318,72,256
1764724062.061383,73,256
1764724062.066317,74,256
1764724062.071349,75,256
1764724062.076312,76,256
1764724062.081370,77,256
1764724062.086317,78,256
1764724062.091408,79,256
1764724062.096313,80,256
1764724062.101373,81,256
1764724062.106310,82,256
1764724062.111304,83,256
1764724062.116371,84,256
1764724062.121402,85,256
1764724062.126309,86,256
1764724062.131310,87,256
1764724062.136304,88,256
1764724062.141304,89,256
1764724062.146302,90,256
1764724062.151302,91,256
1764724062.156305,92,256
1764724062.161304,93,256
1764724062.166301,94,256
1764724062.171326,95,256
1764724062.176360,96,256
1764724062.181368,97,256
1764724062.186367,98,256
1764724062.191373,99,256
1764724062.196367,100,256
1764724062.201319,101,256
1764724062.206357,102,256
1764724062.211319,103,256
1764724062.216352,104,256
1764724062.221319,105,256
1764724062.226365,106,256
1764724062.231324,107,256
