t_send,seq,bytes
1765688143.429620,1,256
1765688143.430640,2,256
1765688143.432989,3,256
1765688143.434819,4,256
1765688143.435115,5,256
1765688143.435179,6,256
1765688143.436983,7,256
1765688143.438639,8,256
1765688143.439403,9,256
1765688143.439836,10,256
1765688143.442141,11,256
1765688143.443200,12,256
1765688143.443784,13,256
1765688143.443914,14,256
1765688143.445354,15,256
1765688143.445450,16,256
1765688143.446301,17,256
1765688143.446492,18,256
1765688143.446534,19,256
1765688143.447129,20,256
1765688143.447170,21,256
1765688143.447299,22,256
1765688143.447471,23,256
1765688143.447998,24,256
1765688143.448267,25,256
1765688143.449686,26,256
1765688143.449801,27,256
1765688143.450892,28,256
1765688143.450994,29,256
1765688143.452559,30,256
1765688143.453362,31,256
1765688143.453942,32,256
1765688143.456149,33,256
1765688143.457139,34,256
1765688143.458643,35,256
1765688143.458751,36,256
1765688143.460587,37,256
1765688143.460906,38,256
1765688143.462757,39,256
1765688143.462839,40,256
1765688143.467577,41,256
1765688143.467993,42,256
1765688143.468582,43,256
1765688143.469640,44,256
1765688143.471340,45,256
1765688143.472310,46,256
1765688143.474144,47,256
1765688143.474613,48,256
1765688143.474643,49,256
1765688143.475018,50,256
1765688143.475595,51,256
1765688143.475997,52,256
1765688143.477639,53,256
1765688143.480776,54,256
1765688143.483175,55,256
1765688143.483283,56,256
1765688143.483564,57,256
1765688143.487888,58,256
1765688143.487987,59,256
1765688143.491857,60,256
1765688143.492583,61,256
1765688143.492921,62,256
1765688143.494783,63,256
1765688143.499035,64,256
1765688143.499570,65,256
1765688143.499695,66,256
1765688143.502839,67,256
1765688143.502990,68,256
1765688143.503439,69,256
1765688143.503701,70,256
1765688143.504100,71,256
1765688143.504574,72,256
1765688143.504879,73,256
1765688143.505652,74,256
1765688143.506287,75,256
1765688143.506524,76,256
1765688143.507498,77,256
1765688143.508253,78,256
1765688143.508410,79,256
1765688143.511927,80,256
1765688143.515965,81,256
1765688143.517760,82,256
1765688143.518536,83,256
1765688143.519738,84,256
1765688143.520109,85,256
1765688143.520313,86,256
1765688143.520985,87,256
1765688143.521786,88,256
1765688143.521955,89,256
1765688143.522641,90,256
1765688143.523425,91,256
1765688143.526558,92,256
1765688143.527085,93,256
1765688143.528610,94,256
1765688143.530522,95,256
1765688143.530831,96,256
1765688143.531035,97,256
1765688143.533256,98,256
1765688143.533400,99,256
1765688143.538425,100,256
1765688143.538559,101,256
1765688143.539281,102,256
1765688143.540207,103,256
1765688143.540758,104,256
1765688143.541104,105,256
1765688143.541383,106,256
1765688143.541804,107,256
1765688143.542068,108,256
1765688143.545992,109,256
1765688143.547444,110,256
1765688143.549133,111,256
1765688143.550071,112,256
1765688143.551510,113,256
1765688143.553220,114,256
1765688143.555499,115,256
1765688143.555591,116,256
1765688143.556262,117,256
1765688143.557353,118,256
1765688143.559627,119,256
1765688143.560101,120,256
1765688143.561534,121,256
1765688143.561676,122,256
1765688143.561719,123,256
1765688143.562978,124,256
1765688143.563699,125,256
1765688143.564560,126,256
1765688143.567307,127,256
1765688143.567354,128,256
1765688143.567776,129,256
1765688143.568556,130,256
1765688143.568894,131,256
1765688143.569059,132,256
1765688143.570006,133,256
1765688143.570042,134,256
1765688143.571129,135,256
1765688143.571557,136,256
1765688143.572205,137,256
1765688143.572339,138,256
1765688143.574071,139,256
1765688143.575535,140,256
1765688143.576575,141,256
1765688143.577523,142,256
1765688143.577640,143,256
1765688143.577867,144,256
1765688143.579382,145,256
1765688143.579451,146,256
1765688143.579832,147,256
1765688143.581652,148,256
1765688143.582882,149,256
1765688143.583494,150,256
1765688143.585337,151,256
1765688143.587282,152,256
1765688143.588613,153,256
1765688143.589009,154,256
1765688143.589361,155,256
1765688143.590349,156,256
1765688143.593760,157,256
1765688143.593962,158,256
1765688143.595357,159,256
1765688143.595413,160,256
1765688143.596090,161,256
1765688143.596122,162,256
1765688143.597607,163,256
1765688143.597672,164,256
1765688143.597786,165,256
1765688143.598397,166,256
1765688143.601842,167,256
1765688143.603893,168,256
1765688143.604588,169,256
1765688143.605034,170,256
1765688143.606670,171,256
1765688143.607195,172,256
1765688143.609483,173,256
1765688143.611816,174,256
1765688143.611979,175,256
1765688143.614837,176,256
1765688143.615018,177,256
1765688143.617799,178,256
1765688143.617950,179,256
1765688143.617991,180,256
1765688143.618740,181,256
1765688143.620396,182,256
1765688143.621932,183,256
1765688143.622497,184,256
1765688143.622669,185,256
1765688143.624757,186,256
1765688143.625095,187,256
1765688143.625764,188,256
1765688143.626695,189,256
1765688143.627656,190,256
1765688143.627842,191,256
1765688143.629428,192,256
1765688143.629681,193,256
1765688143.630816,194,256
1765688143.631970,195,256
1765688143.634372,196,256
1765688143.635586,197,256
1765688143.635887,198,256
1765688143.636499,199,256
1765688143.637963,200,256
1765688143.638183,201,256
1765688143.638325,202,256
1765688143.639453,203,256
1765688143.640952,204,256
1765688143.642066,205,256
1765688143.643257,206,256
1765688143.645993,207,256
1765688143.646399,208,256
1765688143.647671,209,256
1765688143.651165,210,256
1765688143.651910,211,256
1765688143.654618,212,256
1765688143.656090,213,256
1765688143.657496,214,256
1765688143.657586,215,256
1765688143.658100,216,256
1765688143.658756,217,256
1765688143.658991,218,256
1765688143.662634,219,256
1765688143.662720,220,256
1765688143.664675,221,256
1765688143.665320,222,256
1765688143.665660,223,256
1765688143.666577,224,256
1765688143.668433,225,256
1765688143.668769,226,256
1765688143.670536,227,256
1765688143.670585,228,256
1765688143.672505,229,256
1765688143.672993,230,256
1765688143.674233,231,256
1765688143.675251,232,256
1765688143.675303,233,256
1765688143.676819,234,256
1765688143.680703,235,256
1765688143.681978,236,256
1765688143.683356,237,256
1765688143.683880,238,256
1765688143.685261,239,256
1765688143.685364,240,256
1765688143.686927,241,256
1765688143.689528,242,256
1765688143.690917,243,256
1765688143.693005,244,256
1765688143.694644,245,256
1765688143.694745,246,256
1765688143.697071,247,256
1765688143.697416,248,256
1765688143.697764,249,256
1765688143.699185,250,256
1765688143.699709,251,256
1765688143.701452,252,256
1765688143.702320,253,256
1765688143.703095,254,256
1765688143.703237,255,256
1765688143.704018,256,256
1765688143.704996,257,256
1765688143.705069,258,256
1765688143.705732,259,256
1765688143.706240,260,256
1765688143.707623,261,256
1765688143.707776,262,256
1765688143.709256,263,256
1765688143.709457,264,256
1765688143.709859,265,256
1765688143.710407,266,256
1765688143.710934,267,256
1765688143.712657,268,256
1765688143.713325,269,256
1765688143.717101,270,256
1765688143.717703,271,256
1765688143.718082,272,256
1765688143.719040,273,256
1765688143.719966,274,256
1765688143.720255,275,256
1765688143.722218,276,256
1765688143.723218,277,256
1765688143.723499,278,256
1765688143.724049,279,256
1765688143.724237,280,256
1765688143.724288,281,256
1765688143.725847,282,256
1765688143.726482,283,256
1765688143.728697,284,256
1765688143.729183,285,256
1765688143.730109,286,256
1765688143.730999,287,256
1765688143.731055,288,256
1765688143.732031,289,256
1765688143.732698,290,256
1765688143.733159,291,256
1765688143.735343,292,256
1765688143.735391,293,256
1765688143.735954,294,256
1765688143.737020,295,256
1765688143.737163,296,256
1765688143.737390,297,256
1765688143.740240,298,256
1765688143.740382,299,256
1765688143.741405,300,256
1765688143.742660,301,256
1765688143.743562,302,256
1765688143.743825,303,256
1765688143.745534,304,256
1765688143.747195,305,256
1765688143.750068,306,256
1765688143.750137,307,256
1765688143.752213,308,256
1765688143.752315,309,256
1765688143.753098,310,256
1765688143.754276,311,256
1765688143.756563,312,256
1765688143.756856,313,256
1765688143.758057,314,256
1765688143.761010,315,256
1765688143.764042,316,256
1765688143.767300,317,256
1765688143.767370,318,256
